Arizona        ,ARI,9017,16,348,54,10,9,0,0,,,0,0
Atlanta        ,ATL,9024,16,350,43,19,10,0,3,,,1,2
Baltimore      ,BAL,9030,16,266,30,15,11,0,4,,,3,1
Buffalo        ,BUF,9000,16,434,34,20,11,1,6,,,2,4
Carolina       ,CAR,9028,16,429,39,14,10,2,0,,,0,0
Chicago        ,CHI,9019,16,341,54,20,11,1,6,,,2,4
Cincinnati     ,CIN,9005,16,323,43,10,12,1,3,,,2,1
Cleveland      ,CLE,9006,16,307,45,9,11,0,0,,,0,0
Dallas         ,DAL,9014,16,347,40,15,10,0,1,,,0,1
Denver         ,DEN,9009,16,390,45,9,9,0,3,,,0,3
Detroit        ,DET,9020,16,387,32,21,13,1,7,,,2,5
Green Bay      ,GB ,9021,16,359,31,31,7,0,5,,,1,4
Houston        ,HOU,9031,16,278,34,17,10,0,1,,,0,1
Indianapolis   ,IND,9001,16,430,46,8,9,0,3,,,1,2
Jacksonville   ,JAC,9029,16,329,35,17,11,0,3,,,3,0
Kansas City    ,KC ,9010,16,338,39,20,6,0,2,,,0,2
Miami          ,MIA,9002,16,313,42,16,3,0,1,,,0,1
Minnesota      ,MIN,9022,16,449,53,8,15,1,0,,,0,0
New England    ,NE ,9003,16,342,35,23,11,0,3,,,1,2
New Orleans    ,NO ,9026,16,339,31,9,7,0,3,,,2,1
NY Giants      ,NYG,9015,16,400,43,20,11,2,1,,,1,0
NY Jets        ,NYJ,9004,16,363,46,19,12,3,2,,,0,2
Oakland        ,OAK,9011,16,433,36,18,8,1,1,,,1,0
Philadelphia   ,PHI,9016,16,328,49,15,9,1,4,,,3,1
Pittsburgh     ,PIT,9008,16,227,33,11,4,2,1,,,1,0
San Diego      ,SD ,9012,16,377,33,17,4,0,2,,,1,1
San Francisco  ,SF ,9027,16,229,27,23,15,1,1,,,0,1
Seattle        ,SEA,9013,16,315,44,22,9,1,4,,,0,4
St. Louis      ,STL,9025,16,407,48,12,6,2,1,,,0,1
Tampa Bay      ,TB ,9023,16,494,67,14,10,1,4,,,1,3
Tennessee      ,TEN,9007,16,317,45,11,13,0,1,,,0,1
Washington     ,WAS,9018,16,367,25,13,8,0,1,,,0,1
